Peak Brightness Date/Time (UT),Latitude (deg.),Longitud (dg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
2/2/2023 20:49,26.2,143.1,33,,,,,30000000000,0.1
1/22/2023 17:11,3.5,76.2,61,,,,,20000000000,0.073
1/17/2023 6:56,33.1,173.7,38,14.2,7.8,-5.6,-10.5,29000000000,0.1
1/11/2023 23:59,31.5,18.6,33.5,17.5,-16.1,4.5,-5.2,46000000000,0.15
1/9/2023 1:17,45.7,135,27,16.7,2.3,-0.4,16.5,90000000000,0.28
1/2/2023 16:38,1.5,129,44.6,,,,,50000000000,0.16
12/29/2022 6:52,42.3,92.9,32.3,16.4,0.2,-12.3,-10.9,62000000000,0.2
12/13/2022 17:26,32.75,2.1,20,18.7,-5.7,14,11,62000000000,0.2
11/20/2022 15:35,17,95.7,50,,,,,33000000000,0.11
11/20/2022 13:53,15,109.7,26,21.7,9,12.3,15.4,34000000000,0.12
11/8/2022 8:54,77.2,93.2,41,,,,,39000000000,0.13
10/28/2022 17:40,7.1,118.9,45,,,,,47000000000,0.16
10/20/2022 20:55,26.6,165.1,65.6,,,,,47000000000,0.16
9/15/2022 2:49,22.7,97.6,31.5,,,,,27000000000,0.095
9/14/2022 23:31,40.8,63.4,35.8,17.4,-13.9,-4.3,9.5,32000000000,0.11
9/4/2022 3:54,20,165.9,14,21.9,18.4,-11.4,-3.5,24000000000,0.086
8/21/2022 16:35,6.3,51.5,37,,,,,21000000000,0.076
8/14/2022 7:39,35,78.4,55.5,,,,,468000000000,1.2
7/28/2022 1:36,6,86.9,37.5,29.9,-17.1,23.5,-7.2,251000000000,0.68
7/27/2022 4:41,44.8,2.9,38.1,19.8,-6.1,17.7,6.5,524000000000,1.3
7/25/2022 7:28,40.5,76.6,33.6,15.2,-2.1,-2.2,14.9,87000000000,0.27
7/22/2022 0:16,23.3,20.5,32.7,17.4,-7.1,15.5,-3.3,60000000000,0.19
7/20/2022 10:56,43,59.6,32.2,16,-0.9,15.6,-3.6,86000000000,0.27
7/8/2022 1:36,21.3,130.1,22,20.2,17.9,-4.1,-8.3,27000000000,0.095
