,Peak Brightness Date/Time (UT),Latitude (deg.),Longitud (dg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),year
0,2023,26.2,143.1,33.0,,,,,30000000000,0.1,2023
1,2023,3.5,76.2,61.0,,,,,20000000000,0.07,2023
2,2023,33.1,173.7,38.0,14.2,7.8,-5.6,-10.5,29000000000,0.1,2023
3,2023,31.5,18.6,33.5,17.5,-16.1,4.5,-5.2,46000000000,0.15,2023
4,2023,45.7,135.0,27.0,16.7,2.3,-0.4,16.5,90000000000,0.28,2023
5,2023,1.5,129.0,44.6,,,,,50000000000,0.16,2023
6,2022,42.3,92.9,32.3,16.4,0.2,-12.3,-10.9,62000000000,0.2,2022
7,2022,32.75,2.1,20.0,18.7,-5.7,14.0,11.0,62000000000,0.2,2022
8,2022,17.0,95.7,50.0,,,,,33000000000,0.11,2022
9,2022,15.0,109.7,26.0,21.7,9.0,12.3,15.4,34000000000,0.12,2022
10,2022,77.2,93.2,41.0,,,,,39000000000,0.13,2022
11,2022,7.1,118.9,45.0,,,,,47000000000,0.16,2022
12,2022,26.6,165.1,65.6,,,,,47000000000,0.16,2022
13,2022,22.7,97.6,31.5,,,,,27000000000,0.1,2022
14,2022,40.8,63.4,35.8,17.4,-13.9,-4.3,9.5,32000000000,0.11,2022
15,2022,20.0,165.9,14.0,21.9,18.4,-11.4,-3.5,24000000000,0.09,2022
16,2022,6.3,51.5,37.0,,,,,21000000000,0.08,2022
17,2022,35.0,78.4,55.5,,,,,468000000000,1.2,2022
18,2022,6.0,86.9,37.5,29.9,-17.1,23.5,-7.2,251000000000,0.68,2022
19,2022,44.8,2.9,38.1,19.8,-6.1,17.7,6.5,524000000000,1.3,2022
20,2022,40.5,76.6,33.6,15.2,-2.1,-2.2,14.9,87000000000,0.27,2022
21,2022,23.3,20.5,32.7,17.4,-7.1,15.5,-3.3,60000000000,0.19,2022
22,2022,43.0,59.6,32.2,16.0,-0.9,15.6,-3.6,86000000000,0.27,2022
23,2022,21.3,130.1,22.0,20.2,17.9,-4.1,-8.3,27000000000,0.1,2022
24,2022,41.7,175.0,35.0,,,,,734000000000,1.8,2022
25,2022,31.9,12.9,56.0,,,,,91000000000,0.28,2022
26,2022,69.7,164.7,19.0,20.1,0.2,-18.3,8.2,65000000000,0.21,2022
27,2022,4.6,39.1,61.0,,,,,91000000000,0.28,2022
28,2022,40.8,127.1,41.1,24.9,23.1,2.0,-9.2,31000000000,0.11,2022
29,2022,16.3,30.4,39.8,,,,,126000000000,0.37,2022
30,2022,55.5,68.9,28.4,12.7,-4.2,11.6,3.2,39000000000,0.13,2022
31,2022,8.2,57.8,23.8,20.6,-19.3,-6.3,3.6,52000000000,0.17,2022
32,2022,3.2,64.3,31.5,19.7,-17.6,5.3,-7.2,27000000000,0.1,2022
33,2022,45.9,171.4,74.0,,,,,20000000000,0.07,2022
34,2022,7.7,74.3,29.0,19.6,-16.6,-10.4,0.1,378000000000,0.98,2022
35,2022,1.9,20.6,56.7,18.2,-12.4,11.4,6.9,76000000000,0.24,2022
36,2022,70.0,9.1,33.3,17.2,-11.5,-5.3,-11.7,1850000000000,4.0,2022
37,2022,4.1,99.5,,,,,,20000000000,0.07,2022
38,2022,50.4,45.9,72.0,,,,,21000000000,0.08,2022
39,2022,33.5,38.9,41.0,,,,,27000000000,0.1,2022
40,2022,5.4,56.4,32.4,21.5,-4.4,-19.6,-7.7,65000000000,0.21,2022
41,2022,28.7,11.4,26.5,13.1,-8.9,-7.3,-6.3,3480000000000,7.0,2022
42,2022,13.3,142.2,36.0,22.8,17.6,9.7,-10.8,152000000000,0.44,2022
43,2022,50.0,38.0,36.6,20.0,-10.8,16.8,1.0,54000000000,0.18,2022
44,2022,4.5,73.9,37.0,,,,,341000000000,0.9,2022
45,2022,58.4,160.2,40.8,22.8,-2.5,5.3,22.0,1260000000000,2.9,2022
46,2022,66.1,152.6,35.5,,,,,145000000000,0.42,2022
47,2021,69.7,115.0,44.0,22.0,7.4,-8.6,18.8,20000000000,0.07,2021
48,2021,4.9,29.6,37.0,,,,,21000000000,0.08,2021
49,2021,62.7,60.3,56.0,18.2,10.3,-7.1,-13.2,32000000000,0.11,2021
50,2021,47.5,172.6,27.5,,,,,50000000000,0.16,2021
51,2021,32.6,113.5,38.4,19.7,0.2,-2.2,-19.6,40000000000,0.13,2021
52,2021,6.8,119.1,35.0,23.0,7.0,-18.3,-12.0,24000000000,0.09,2021
53,2021,33.8,7.7,36.0,,,,,33000000000,0.11,2021
54,2021,4.1,138.7,35.2,,,,,30000000000,0.1,2021
55,2021,51.5,51.4,30.0,15.9,-14.1,-7.0,-1.9,37000000000,0.13,2021
56,2021,13.8,140.4,28.0,,,,,60000000000,0.19,2021
57,2021,59.0,154.3,31.4,27.5,12.9,4.2,-23.9,20000000000,0.07,2021
58,2021,53.9,148.0,28.0,21.2,-3.5,-9.0,-18.9,137000000000,0.4,2021
59,2021,2.1,111.8,26.0,13.6,-4.4,6.9,10.9,31000000000,0.11,2021
60,2021,7.8,90.1,63.0,,,,,146000000000,0.42,2021
61,2021,42.4,98.4,26.4,14.7,-1.6,-11.9,-8.4,37000000000,0.13,2021
62,2021,,,,,,,,33000000000,0.11,2021
63,2021,44.3,164.2,43.4,15.7,0.7,15.7,-0.5,740000000000,1.8,2021
64,2021,17.9,55.3,,,,,,23000000000,0.08,2021
65,2021,52.1,171.2,37.0,,,,,38000000000,0.13,2021
66,2021,34.7,141.0,31.0,26.6,9.6,-24.4,-4.6,21000000000,0.08,2021
67,2021,12.3,43.4,,,,,,25000000000,0.09,2021
68,2021,26.8,79.1,44.4,14.1,-2.8,12.6,5.6,21000000000,0.08,2021
69,2021,71.2,106.7,40.0,14.1,-8.9,6.3,-9.0,137000000000,0.4,2021
70,2021,48.6,90.4,31.1,18.1,12.7,-4.7,12.0,141000000000,0.41,2021
71,2021,81.1,141.1,32.5,23.3,10.1,-8.4,19.2,39000000000,0.13,2021
72,2021,9.2,64.1,,,,,,28000000000,0.1,2021
73,2021,75.8,92.8,31.0,13.1,-5.2,6.3,-10.3,30000000000,0.1,2021
74,2021,48.7,80.1,20.0,12.8,4.0,-6.7,-10.1,31000000000,0.11,2021
75,2021,5.3,115.2,39.4,15.2,14.0,-5.8,1.7,267000000000,0.72,2021
76,2021,38.8,51.3,30.0,14.3,-14.2,1.9,-0.6,77000000000,0.24,2021
77,2021,38.5,47.6,19.1,,,,,75000000000,0.23,2021
78,2021,45.0,95.5,37.5,19.2,13.3,-3.7,13.3,61000000000,0.2,2021
79,2020,14.9,158.2,33.0,14.4,-3.0,10.2,-9.7,49000000000,0.16,2020
80,2020,36.8,54.7,28.3,15.2,1.5,3.5,-14.7,57000000000,0.18,2020
81,2020,31.9,96.2,35.5,13.6,-2.6,5.9,-12.1,4900000000000,9.5,2020
82,2020,33.3,135.1,28.1,19.6,1.8,-16.5,-10.4,26000000000,0.09,2020
83,2020,30.5,81.0,,,,,,21000000000,0.08,2020
84,2020,59.8,16.8,22.3,16.7,-10.8,1.2,-12.7,111000000000,0.33,2020
85,2020,5.9,160.4,28.5,17.6,10.9,-13.8,-0.1,114000000000,0.34,2020
86,2020,30.0,71.9,48.0,,,,,80000000000,0.25,2020
87,2020,22.0,133.5,40.0,17.6,-9.4,14.1,-4.9,44000000000,0.15,2020
88,2020,12.9,150.2,,,,,,22000000000,0.08,2020
89,2020,29.7,93.9,39.0,,,,,27000000000,0.1,2020
90,2020,48.6,93.9,40.7,,,,,21000000000,0.08,2020
91,2020,11.4,135.8,36.0,16.4,15.6,1.5,4.9,36000000000,0.12,2020
92,2020,2.4,169.7,46.0,11.7,10.2,2.9,-4.9,41000000000,0.14,2020
93,2020,26.0,133.5,27.8,23.4,7.8,-21.7,3.7,64000000000,0.2,2020
94,2020,35.1,34.2,38.0,11.1,0.5,6.0,9.3,74000000000,0.23,2020
95,2020,20.0,103.8,36.0,,,,,22000000000,0.08,2020
96,2020,51.8,11.2,31.6,14.1,-2.9,-1.0,-13.8,50000000000,0.16,2020
97,2020,48.7,74.0,29.4,18.3,-5.0,-13.0,-11.9,75000000000,0.23,2020
98,2020,40.8,41.7,29.3,14.9,-6.0,-7.3,-11.5,57000000000,0.18,2020
99,2020,38.7,77.2,25.0,,,,,162000000000,0.46,2020
100,2020,15.9,174.2,,,,,,83000000000,0.26,2020
101,2020,7.2,44.2,52.5,,,,,41000000000,0.14,2020
102,2020,44.8,131.0,31.2,14.5,-13.0,-4.0,-5.0,41000000000,0.14,2020
103,2020,20.1,109.4,,,,,,21000000000,0.08,2020
104,2020,12.5,49.8,,,,,,27000000000,0.1,2020
105,2020,65.6,45.6,,,,,,20000000000,0.07,2020
106,2020,38.3,23.5,26.5,20.7,-10.0,3.2,17.8,124000000000,0.37,2020
107,2020,24.4,67.9,25.0,,,,,133000000000,0.39,2020
108,2020,,,,,,,,25000000000,0.09,2020
109,2020,53.3,90.8,24.3,19.8,-5.2,2.2,19.0,394000000000,1.0,2020
110,2020,45.7,15.1,34.5,21.5,-18.2,-11.3,-2.1,115000000000,0.34,2020
111,2020,3.6,96.0,,,,,,20000000000,0.07,2020
112,2020,28.2,76.7,41.7,31.7,-27.8,-14.3,-5.2,27000000000,0.1,2020
113,2020,30.4,1.5,32.5,19.8,-2.0,-16.6,-10.6,44000000000,0.15,2020
114,2020,28.0,35.8,32.0,21.2,-18.6,-9.0,-4.7,26000000000,0.09,2020
115,2020,33.1,34.3,43.3,27.4,-7.5,-23.5,-11.9,28000000000,0.1,2020
116,2020,19.4,66.0,14.5,15.5,-13.2,8.1,1.2,97000000000,0.29,2020
117,2020,71.7,116.4,27.8,12.9,9.8,-4.5,7.0,59000000000,0.19,2020
118,2020,23.7,125.2,31.5,,,,,196000000000,0.55,2020
119,2020,70.4,17.5,,,,,,45000000000,0.15,2020
120,2019,56.5,147.6,35.5,22.2,14.9,-8.1,-14.3,65000000000,0.21,2019
121,2019,47.7,161.7,37.0,17.8,13.7,-10.9,-3.3,39000000000,0.13,2019
122,2019,3.3,37.7,19.5,,,,,46000000000,0.15,2019
123,2019,5.6,52.2,61.5,,,,,42000000000,0.14,2019
124,2019,35.7,31.7,35.0,13.0,-11.6,-2.5,-5.4,27000000000,0.1,2019
125,2019,,,,,,,,26000000000,0.09,2019
126,2019,22.1,25.7,22.5,24.7,-22.8,-5.5,7.6,25000000000,0.09,2019
127,2019,10.4,143.3,38.0,27.4,5.2,12.3,23.9,110000000000,0.33,2019
128,2019,12.0,76.0,40.7,,,,,27000000000,0.1,2019
129,2019,44.3,122.9,47.3,14.1,1.5,-12.9,-5.4,206000000000,0.57,2019
130,2019,12.5,107.2,52.0,20.4,-10.1,11.2,13.7,23000000000,0.08,2019
131,2019,25.7,28.4,,,,,,34000000000,0.12,2019
132,2019,38.6,33.5,38.0,15.9,-12.9,8.1,4.6,109000000000,0.33,2019
133,2019,18.6,126.9,27.4,13.5,5.2,-8.1,9.5,42000000000,0.14,2019
134,2019,54.5,9.2,42.0,18.5,-18.1,-0.4,3.7,169000000000,0.48,2019
135,2019,24.9,47.8,30.6,17.2,-11.7,11.7,4.6,59000000000,0.19,2019
136,2019,21.9,130.4,39.8,13.4,11.1,-5.2,5.4,40000000000,0.13,2019
137,2019,24.4,92.9,30.2,,,,,20000000000,0.07,2019
138,2019,38.9,7.0,36.0,14.9,-3.9,4.0,-13.8,25000000000,0.09,2019
