Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
2023,26.2S,143.1W,33.0,,,,,30000000000.0,0.1
2023,3.5N,76.2W,61.0,,,,,20000000000.0,0.073
2023,33.1N,173.7W,38.0,14.2,7.8,-5.6,-10.5,29000000000.0,0.1
2023,31.5N,18.6E,33.5,17.5,-16.1,4.5,-5.2,46000000000.0,0.15
2023,45.7S,135.0E,27.0,16.7,2.3,-0.4,16.5,90000000000.0,0.28
2023,1.5N,129.0E,44.6,,,,,50000000000.0,0.16
2022,42.3N,92.9E,32.3,16.4,0.2,-12.3,-10.9,62000000000.0,0.2
2022,32.75N,2.1W,20.0,18.7,-5.7,14.0,11.0,62000000000.0,0.2
2022,17.0S,95.7W,50.0,,,,,33000000000.0,0.11
2022,15.0N,109.7W,26.0,21.7,9.0,12.3,15.4,34000000000.0,0.12
2022,77.2N,93.2W,41.0,,,,,39000000000.0,0.13
2022,7.1N,118.9W,45.0,,,,,47000000000.0,0.16
2022,26.6N,165.1E,65.6,,,,,47000000000.0,0.16
2022,22.7N,97.6E,31.5,,,,,27000000000.0,0.095
2022,40.8N,63.4E,35.8,17.4,-13.9,-4.3,9.5,32000000000.0,0.11
2022,20.0N,165.9E,14.0,21.9,18.4,-11.4,-3.5,24000000000.0,0.086
2022,6.3S,51.5E,37.0,,,,,21000000000.0,0.076
2022,35.0S,78.4E,55.5,,,,,468000000000.0,1.2
2022,6.0S,86.9W,37.5,29.9,-17.1,23.5,-7.2,251000000000.0,0.68
2022,44.8S,2.9W,38.1,19.8,-6.1,17.7,6.5,524000000000.0,1.3
2022,40.5S,76.6E,33.6,15.2,-2.1,-2.2,14.9,87000000000.0,0.27
2022,23.3S,20.5W,32.7,17.4,-7.1,15.5,-3.3,60000000000.0,0.19
2022,43.0S,59.6W,32.2,16.0,-0.9,15.6,-3.6,86000000000.0,0.27
2022,21.3N,130.1E,22.0,20.2,17.9,-4.1,-8.3,27000000000.0,0.095
2022,41.7S,175.0E,35.0,,,,,734000000000.0,1.8
2022,31.9S,12.9W,56.0,,,,,91000000000.0,0.28
2022,69.7S,164.7E,19.0,20.1,0.2,-18.3,8.2,65000000000.0,0.21
2022,4.6N,39.1W,61.0,,,,,91000000000.0,0.28
2022,40.8N,127.1W,41.1,24.9,23.1,2.0,-9.2,31000000000.0,0.11
2022,16.3N,30.4W,39.8,,,,,126000000000.0,0.37
2022,55.5S,68.9W,28.4,12.7,-4.2,11.6,3.2,39000000000.0,0.13
2022,8.2S,57.8E,23.8,20.6,-19.3,-6.3,3.6,52000000000.0,0.17
2022,3.2S,64.3W,31.5,19.7,-17.6,5.3,-7.2,27000000000.0,0.095
2022,45.9S,171.4W,74.0,,,,,20000000000.0,0.073
2022,7.7S,74.3E,29.0,19.6,-16.6,-10.4,0.1,378000000000.0,0.98
2022,1.9N,20.6W,56.7,18.2,-12.4,11.4,6.9,76000000000.0,0.24
2022,70.0N,9.1W,33.3,17.2,-11.5,-5.3,-11.7,1851000000000.0,4.0
2022,4.1S,99.5W,,,,,,20000000000.0,0.073
2022,50.4S,45.9E,72.0,,,,,21000000000.0,0.076
2022,33.5N,38.9W,41.0,,,,,27000000000.0,0.095
2022,5.4N,56.4E,32.4,21.5,-4.4,-19.6,-7.7,65000000000.0,0.21
2022,28.7S,11.4E,26.5,13.1,-8.9,-7.3,-6.3,3480000000000.0,7.0
2022,13.3S,142.2E,36.0,22.8,17.6,9.7,-10.8,152000000000.0,0.44
2022,50.0N,38.0W,36.6,20.0,-10.8,16.8,1.0,54000000000.0,0.18
2022,4.5S,73.9W,37.0,,,,,341000000000.0,0.9
2022,58.4S,160.2W,40.8,22.8,-2.5,5.3,22.0,1264000000000.0,2.9
