,Peak Brightness Date/Time (UT),Latitude (deg.),Longitud (dg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),Sighting Year,Sighting Month
2,2023-01-17 06:56:00,33.1,173.7,38.0,14.2,7.8,-5.6,-10.5,29000000000,0.1,2023,January
3,2023-01-11 23:59:00,31.5,18.6,33.5,17.5,-16.1,4.5,-5.2,46000000000,0.15,2023,January
4,2023-01-09 01:17:00,45.7,135.0,27.0,16.7,2.3,-0.4,16.5,90000000000,0.28,2023,January
6,2022-12-29 06:52:00,42.3,92.9,32.3,16.4,0.2,-12.3,-10.9,62000000000,0.2,2022,December
7,2022-12-13 17:26:00,32.75,2.1,20.0,18.7,-5.7,14.0,11.0,62000000000,0.2,2022,December
9,2022-11-20 13:53:00,15.0,109.7,26.0,21.7,9.0,12.3,15.4,34000000000,0.12,2022,November
14,2022-09-14 23:31:00,40.8,63.4,35.8,17.4,-13.9,-4.3,9.5,32000000000,0.11,2022,September
15,2022-09-04 03:54:00,20.0,165.9,14.0,21.9,18.4,-11.4,-3.5,24000000000,0.09,2022,September
18,2022-07-28 01:36:00,6.0,86.9,37.5,29.9,-17.1,23.5,-7.2,251000000000,0.68,2022,July
19,2022-07-27 04:41:00,44.8,2.9,38.1,19.8,-6.1,17.7,6.5,524000000000,1.3,2022,July
20,2022-07-25 07:28:00,40.5,76.6,33.6,15.2,-2.1,-2.2,14.9,87000000000,0.27,2022,July
21,2022-07-22 00:16:00,23.3,20.5,32.7,17.4,-7.1,15.5,-3.3,60000000000,0.19,2022,July
22,2022-07-20 10:56:00,43.0,59.6,32.2,16.0,-0.9,15.6,-3.6,86000000000,0.27,2022,July
23,2022-07-08 01:36:00,21.3,130.1,22.0,20.2,17.9,-4.1,-8.3,27000000000,0.1,2022,July
26,2022-06-26 20:16:00,69.7,164.7,19.0,20.1,0.2,-18.3,8.2,65000000000,0.21,2022,June
28,2022-06-07 22:53:00,40.8,127.1,41.1,24.9,23.1,2.0,-9.2,31000000000,0.11,2022,June
30,2022-04-21 22:15:00,55.5,68.9,28.4,12.7,-4.2,11.6,3.2,39000000000,0.13,2022,April
31,2022-04-12 21:59:00,8.2,57.8,23.8,20.6,-19.3,-6.3,3.6,52000000000,0.17,2022,April
32,2022-04-04 00:30:00,3.2,64.3,31.5,19.7,-17.6,5.3,-7.2,27000000000,0.1,2022,April
34,2022-03-28 10:20:00,7.7,74.3,29.0,19.6,-16.6,-10.4,0.1,378000000000,0.98,2022,March
35,2022-03-24 03:43:00,1.9,20.6,56.7,18.2,-12.4,11.4,6.9,76000000000,0.24,2022,March
36,2022-03-11 21:22:00,70.0,9.1,33.3,17.2,-11.5,-5.3,-11.7,1850000000000,4.0,2022,March
40,2022-02-17 03:53:00,5.4,56.4,32.4,21.5,-4.4,-19.6,-7.7,65000000000,0.21,2022,February
41,2022-02-07 20:06:00,28.7,11.4,26.5,13.1,-8.9,-7.3,-6.3,3480000000000,7.0,2022,February
42,2022-02-03 19:50:00,13.3,142.2,36.0,22.8,17.6,9.7,-10.8,152000000000,0.44,2022,February
43,2022-01-30 02:06:00,50.0,38.0,36.6,20.0,-10.8,16.8,1.0,54000000000,0.18,2022,January
45,2022-01-11 03:33:00,58.4,160.2,40.8,22.8,-2.5,5.3,22.0,1260000000000,2.9,2022,January
47,2021-12-29 03:15:00,69.7,115.0,44.0,22.0,7.4,-8.6,18.8,20000000000,0.07,2021,December
49,2021-12-20 23:15:00,62.7,60.3,56.0,18.2,10.3,-7.1,-13.2,32000000000,0.11,2021,December
51,2021-11-28 18:06:00,32.6,113.5,38.4,19.7,0.2,-2.2,-19.6,40000000000,0.13,2021,November
52,2021-11-17 15:53:00,6.8,119.1,35.0,23.0,7.0,-18.3,-12.0,24000000000,0.09,2021,November
55,2021-10-21 10:32:00,51.5,51.4,30.0,15.9,-14.1,-7.0,-1.9,37000000000,0.13,2021,October
57,2021-10-20 00:43:00,59.0,154.3,31.4,27.5,12.9,4.2,-23.9,20000000000,0.07,2021,October
58,2021-09-29 10:50:00,53.9,148.0,28.0,21.2,-3.5,-9.0,-18.9,137000000000,0.4,2021,September
59,2021-09-06 17:55:00,2.1,111.8,26.0,13.6,-4.4,6.9,10.9,31000000000,0.11,2021,September
61,2021-07-29 13:19:00,42.4,98.4,26.4,14.7,-1.6,-11.9,-8.4,37000000000,0.13,2021,July
63,2021-07-05 03:46:00,44.3,164.2,43.4,15.7,0.7,15.7,-0.5,740000000000,1.8,2021,July
66,2021-05-06 05:54:00,34.7,141.0,31.0,26.6,9.6,-24.4,-4.6,21000000000,0.08,2021,May
68,2021-04-13 02:16:00,26.8,79.1,44.4,14.1,-2.8,12.6,5.6,21000000000,0.08,2021,April
69,2021-04-02 15:52:00,71.2,106.7,40.0,14.1,-8.9,6.3,-9.0,137000000000,0.4,2021,April
70,2021-03-06 08:43:00,48.6,90.4,31.1,18.1,12.7,-4.7,12.0,141000000000,0.41,2021,March
71,2021-03-05 13:50:00,81.1,141.1,32.5,23.3,10.1,-8.4,19.2,39000000000,0.13,2021,March
73,2021-02-09 23:27:00,75.8,92.8,31.0,13.1,-5.2,6.3,-10.3,30000000000,0.1,2021,February
74,2021-02-02 10:03:00,48.7,80.1,20.0,12.8,4.0,-6.7,-10.1,31000000000,0.11,2021,February
75,2021-01-31 02:59:00,5.3,115.2,39.4,15.2,14.0,-5.8,1.7,267000000000,0.72,2021,January
76,2021-01-29 16:12:00,38.8,51.3,30.0,14.3,-14.2,1.9,-0.6,77000000000,0.24,2021,January
78,2021-01-24 07:33:00,45.0,95.5,37.5,19.2,13.3,-3.7,13.3,61000000000,0.2,2021,January
79,2020-12-29 20:32:00,14.9,158.2,33.0,14.4,-3.0,10.2,-9.7,49000000000,0.16,2020,December
80,2020-12-28 17:27:00,36.8,54.7,28.3,15.2,1.5,3.5,-14.7,57000000000,0.18,2020,December
81,2020-12-22 23:23:00,31.9,96.2,35.5,13.6,-2.6,5.9,-12.1,4900000000000,9.5,2020,December
82,2020-11-28 16:34:00,33.3,135.1,28.1,19.6,1.8,-16.5,-10.4,26000000000,0.09,2020,November
84,2020-11-07 21:27:00,59.8,16.8,22.3,16.7,-10.8,1.2,-12.7,111000000000,0.33,2020,November
85,2020-10-26 15:09:00,5.9,160.4,28.5,17.6,10.9,-13.8,-0.1,114000000000,0.34,2020,October
87,2020-10-22 17:39:00,22.0,133.5,40.0,17.6,-9.4,14.1,-4.9,44000000000,0.15,2020,October
91,2020-10-18 10:52:00,11.4,135.8,36.0,16.4,15.6,1.5,4.9,36000000000,0.12,2020,October
92,2020-09-18 08:05:00,2.4,169.7,46.0,11.7,10.2,2.9,-4.9,41000000000,0.14,2020,September
93,2020-08-30 16:08:00,26.0,133.5,27.8,23.4,7.8,-21.7,3.7,64000000000,0.2,2020,August
94,2020-08-02 16:36:00,35.1,34.2,38.0,11.1,0.5,6.0,9.3,74000000000,0.23,2020,August
96,2020-07-20 21:25:00,51.8,11.2,31.6,14.1,-2.9,-1.0,-13.8,50000000000,0.16,2020,July
97,2020-07-12 07:50:00,48.7,74.0,29.4,18.3,-5.0,-13.0,-11.9,75000000000,0.23,2020,July
98,2020-05-27 17:30:00,40.8,41.7,29.3,14.9,-6.0,-7.3,-11.5,57000000000,0.18,2020,May
102,2020-05-09 02:56:00,44.8,131.0,31.2,14.5,-13.0,-4.0,-5.0,41000000000,0.14,2020,May
106,2020-03-26 23:27:00,38.3,23.5,26.5,20.7,-10.0,3.2,17.8,124000000000,0.37,2020,March
109,2020-03-04 20:25:00,53.3,90.8,24.3,19.8,-5.2,2.2,19.0,394000000000,1.0,2020,March
110,2020-02-28 09:30:00,45.7,15.1,34.5,21.5,-18.2,-11.3,-2.1,115000000000,0.34,2020,February
