Peak Brightness Date/Time (UT),Latitude (deg.),Longitud (dg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),year
2023-02-02 20:49:00.000000,26.2,143.1,33.0,,,,,30000000000,0.1,2023
2023-01-22 17:11:00.000000,3.5,76.2,61.0,,,,,20000000000,0.07,2023
2023-01-17 06:56:00.000000,33.1,173.7,38.0,14.2,7.8,-5.6,-10.5,29000000000,0.1,2023
2023-01-11 23:59:00.000000,31.5,18.6,33.5,17.5,-16.1,4.5,-5.2,46000000000,0.15,2023
2023-01-09 01:17:00.000000,45.7,135.0,27.0,16.7,2.3,-0.4,16.5,90000000000,0.28,2023
2023-01-02 16:38:00.000000,1.5,129.0,44.6,,,,,50000000000,0.16,2023
2022-12-29 06:52:00.000000,42.3,92.9,32.3,16.4,0.2,-12.3,-10.9,62000000000,0.2,2022
2022-12-13 17:26:00.000000,32.75,2.1,20.0,18.7,-5.7,14.0,11.0,62000000000,0.2,2022
2022-11-20 15:35:00.000000,17.0,95.7,50.0,,,,,33000000000,0.11,2022
2022-11-20 13:53:00.000000,15.0,109.7,26.0,21.7,9.0,12.3,15.4,34000000000,0.12,2022
2022-11-08 08:54:00.000000,77.2,93.2,41.0,,,,,39000000000,0.13,2022
2022-10-28 17:40:00.000000,7.1,118.9,45.0,,,,,47000000000,0.16,2022
2022-10-20 20:55:00.000000,26.6,165.1,65.6,,,,,47000000000,0.16,2022
2022-09-15 02:49:00.000000,22.7,97.6,31.5,,,,,27000000000,0.1,2022
2022-09-14 23:31:00.000000,40.8,63.4,35.8,17.4,-13.9,-4.3,9.5,32000000000,0.11,2022
2022-09-04 03:54:00.000000,20.0,165.9,14.0,21.9,18.4,-11.4,-3.5,24000000000,0.09,2022
2022-08-21 16:35:00.000000,6.3,51.5,37.0,,,,,21000000000,0.08,2022
2022-08-14 07:39:00.000000,35.0,78.4,55.5,,,,,468000000000,1.2,2022
2022-07-28 01:36:00.000000,6.0,86.9,37.5,29.9,-17.1,23.5,-7.2,251000000000,0.68,2022
2022-07-27 04:41:00.000000,44.8,2.9,38.1,19.8,-6.1,17.7,6.5,524000000000,1.3,2022
2022-07-25 07:28:00.000000,40.5,76.6,33.6,15.2,-2.1,-2.2,14.9,87000000000,0.27,2022
2022-07-22 00:16:00.000000,23.3,20.5,32.7,17.4,-7.1,15.5,-3.3,60000000000,0.19,2022
